,1,2,3
454,1,4,6
455,6,2,3
456,2,5,3
457,4,2,6
458,4,5,2
459,6,5,1
460,5,4,1
461,2,6,5
462,3,4,1
463,4,2,6
464,5,2,4
465,6,1,2
466,6,1,3
467,2,6,4
468,6,1,2
469,1,2,4
470,5,1,4
471,4,5,2
472,6,3,2
473,2,3,4
474,2,6,4
475,4,6,5
476,6,3,1
477,5,3,2
478,6,1,3
479,4,2,5
480,2,6,1
481,3,5,2
482,3,5,1
483,6,1,3
484,2,3,5
485,1,6,5
486,2,6,1
487,5,2,1
488,1,6,2
489,3,6,1
490,6,1,4
491,6,5,4
492,5,2,1
493,6,5,4
494,5,6,4
495,4,5,3
496,6,2,3
497,1,6,3
498,3,4,6
499,5,6,4
500,4,3,2
501,2,6,3
502,3,1,6
503,6,1,2
504,4,2,5
505,1,5,3
506,5,3,4
507,3,1,6
508,6,3,4
509,5,4,6
510,3,6,2
511,3,6,4
512,1,5,4
513,6,5,1
514,6,1,5
515,4,2,6
516,4,3,2
517,2,1,6
518,3,4,1
519,6,4,2
520,5,1,2
521,6,3,5
522,3,6,4
523,3,6,1
524,3,2,5
525,3,6,2
526,5,4,3
527,3,6,4
528,2,4,6
529,6,2,1
530,2,5,6
531,3,2,5
532,2,5,1
533,4,1,5
534,4,5,6
535,4,2,5
536,1,3,2
537,6,3,4
538,6,1,4
539,2,3,4
540,1,6,2
541,2,3,4
542,6,1,3
543,1,5,6
544,6,5,1
545,4,5,6
546,6,3,5
547,2,6,1
548,2,6,3
549,2,1,6
550,6,4,5
551,2,6,1
552,2,1,3
553,3,6,1
554,5,1,4
555,5,3,1
556,1,5,4
557,4,3,5
558,2,1,5
559,6,1,4
560,3,2,1
561,2,1,4
562,4,1,5
563,3,6,2
564,3,1,5
565,6,1,5
566,3,2,5
567,2,3,5
568,1,6,2
569,5,6,2
570,3,4,1
571,6,5,1
572,3,5,1
573,2,6,3
574,3,5,4
575,4,2,6
576,4,5,2
577,1,2,5
578,1,2,5
579,5,6,2
580,6,3,1
581,1,4,6
582,1,5,4
583,4,5,3
584,2,5,4
585,6,1,2
586,5,3,1
587,3,1,6
588,1,5,2
589,2,5,4
590,5,2,4
591,5,3,2
592,2,5,3
593,2,4,3
594,5,3,2
595,6,2,5
596,5,4,3
597,3,4,5
598,5,2,6
599,1,4,6
600,2,4,1
601,5,1,4
602,4,1,3
603,2,1,3
604,1,5,6
605,6,1,4
606,1,2,6
607,5,6,1
608,1,2,4
609,3,5,2
610,3,4,2
611,1,4,2
612,5,6,1
613,5,3,6
614,6,1,4
615,5,4,1
616,6,1,2
617,3,6,5
618,2,4,1
619,3,6,2
620,1,2,5
621,5,3,6
622,3,5,4
623,4,3,1
624,6,1,3
625,1,3,5
626,6,3,4
627,3,5,2
628,6,3,1
629,4,5,2
630,3,5,6
631,6,2,5
632,2,3,1
633,6,4,3
634,4,1,5
635,2,5,4
636,3,6,4
637,4,3,2
638,1,4,3
639,3,4,2
640,5,4,2
641,1,6,3
642,5,4,3
643,2,4,5
644,3,6,2
645,4,3,2
646,6,1,5
647,1,3,4
648,2,4,5
649,1,6,2
650,5,3,6
651,4,5,3
652,2,4,1
653,5,1,2
654,6,5,3
655,3,6,1
656,4,1,6
657,5,4,1
658,1,3,6
659,6,4,3
660,5,1,2
661,1,6,4
662,4,3,5
663,1,5,2
664,4,2,3
665,1,3,4
666,5,6,3
667,1,6,5
668,6,1,2
669,4,3,5
670,3,2,5
671,4,2,3
672,6,1,3
673,4,5,3
674,4,3,6
675,6,4,3
676,5,1,6
677,4,6,1
678,6,5,3
679,3,6,1
680,1,4,6
681,1,4,3
682,2,5,6
683,4,3,1
684,1,5,2
685,5,4,6
686,2,5,1
687,3,5,1
688,4,6,2
689,4,6,2
690,3,4,1
691,2,5,3
692,3,4,6
693,2,3,6
694,1,5,3
695,4,5,3
696,5,2,3
697,2,4,6
698,1,3,6
699,6,4,1
700,2,4,3
701,2,3,4
702,6,5,2
703,1,5,4
704,2,6,1
705,3,6,2
706,3,5,1
707,6,5,1
708,6,2,1
709,2,3,5
710,6,3,2
711,1,4,6
712,6,4,5
713,6,4,2
714,3,6,5
715,2,6,5
716,1,5,2
717,6,5,2
718,4,5,2
719,3,2,1
720,4,1,3
721,6,5,1
722,6,1,5
723,6,2,1
724,4,3,6
725,5,2,4
726,1,4,2
727,2,6,1
728,1,5,4
729,4,1,2
730,4,6,2
731,3,6,2
732,2,3,4
733,1,5,3
734,1,5,4
735,2,5,6
736,2,1,3
737,3,6,1
738,3,5,6
739,3,1,4
740,6,5,2
741,4,5,6
742,5,3,1
743,4,5,3
744,1,3,6
745,4,1,3
746,5,4,6
747,3,5,2
748,6,1,4
749,5,4,2
750,4,5,3
751,6,4,5
752,3,4,2
753,4,1,3
754,2,6,3
755,1,6,5
756,5,6,1
757,6,3,2
758,4,1,3
759,5,3,4
760,4,3,6
761,1,3,6
762,5,3,2
763,1,5,2
764,6,4,3
765,2,6,4
766,6,5,1
767,5,2,6
768,5,4,6
769,3,4,1
770,6,2,1
771,1,3,4
772,5,6,4
773,2,3,6
774,4,6,3
775,4,6,3
776,2,5,3
777,2,1,5
778,2,3,5
779,5,4,1
780,1,2,4
781,4,2,6
782,5,1,2
783,4,2,6
784,1,2,3
785,2,4,5
786,2,6,4
787,2,6,4
788,3,6,1
789,5,4,3
790,4,1,6
791,3,6,4
792,1,3,5
793,4,1,2
794,2,3,1
795,3,6,5
796,1,3,6
797,6,1,4
798,6,4,2
799,5,1,2
800,6,4,5
801,3,4,1
802,3,6,2
803,1,4,2
804,1,6,4
805,3,4,6
806,4,1,2
807,4,1,2
808,6,2,5
809,6,1,4
810,6,4,3
811,4,6,2
812,6,1,5
813,1,3,5
814,2,5,3
815,3,1,2
816,3,5,4
817,4,6,1
818,5,6,2
819,3,4,2
820,5,1,6
821,2,6,5
822,3,2,4
823,1,3,5
824,2,4,6
825,5,4,2
826,1,3,4
827,2,3,6
828,2,4,3
829,6,3,1
830,2,5,3
831,4,1,3
832,6,2,4
833,6,5,2
834,6,4,2
835,4,2,6
836,2,3,1
837,1,3,4
838,3,2,1
839,2,4,6
840,2,6,1
841,4,2,1
842,3,6,5
843,2,1,4
844,4,3,5
845,4,6,2
846,6,1,2
847,5,6,2
848,2,6,5
849,4,2,1
850,4,5,2
851,2,3,5
852,4,5,1
853,2,6,5
854,4,5,6
855,6,1,3
856,3,1,2
857,3,5,1
858,4,2,1
859,4,3,2
860,5,4,6
861,6,2,3
862,6,1,4
863,5,1,2
864,6,2,5
865,2,1,4
866,3,2,6
867,4,3,6
868,4,3,2
869,2,3,6
870,4,5,6
871,3,5,1
872,6,3,5
873,6,3,5
874,3,6,5
875,3,4,2
876,2,3,5
877,6,1,4
878,2,4,5
879,6,5,3
880,2,6,1
881,1,4,2
882,1,6,4
883,4,1,5
884,5,2,1
885,1,4,3
886,5,1,3
887,5,1,3
888,3,5,6
889,3,6,4
890,2,3,5
891,2,3,6
892,4,2,1
893,2,1,3
894,5,3,6
895,3,6,4
896,6,2,5
897,2,3,5
898,4,6,5
899,2,5,1
900,6,5,4
901,4,1,6
902,3,5,2
903,4,1,5
904,2,3,1
905,6,3,4
906,1,5,6
907,3,1,6
908,6,4,3
909,4,3,2
910,3,4,6
911,4,5,1
912,3,4,6
913,4,6,3
914,5,1,4
915,5,1,3
916,6,4,1
917,5,2,1
918,3,5,6
919,2,4,6
920,4,2,3
921,6,3,1
922,6,2,4
923,4,5,6
924,4,6,2
925,2,5,3
926,1,4,6
927,5,4,6
928,3,6,5
929,6,2,5
930,1,2,3
931,6,1,3
932,4,1,2
933,5,6,4
934,4,6,5
935,6,2,5
936,6,5,1
937,2,4,6
938,1,6,2
939,6,2,1
940,2,5,4
941,3,2,1
942,2,1,6
943,1,2,3
944,3,1,5
945,3,5,1
946,6,4,3
947,5,4,6
948,2,5,6
949,2,4,3
950,4,1,5
951,5,6,4
952,3,2,4
953,2,3,6
954,6,2,5
955,4,6,3
956,4,3,5
957,3,1,5
958,1,3,6
959,5,3,1
960,6,4,1
961,3,6,1
962,1,4,5
963,5,3,2
964,2,5,1
965,6,2,5
966,1,4,3
967,3,5,1
968,1,4,5
969,6,3,5
970,5,6,3
971,3,2,1
972,4,2,3
973,3,1,2
974,3,4,1
975,3,5,4
976,3,2,4
977,2,6,1
978,6,1,5
979,3,5,6
980,4,2,6
981,5,6,1
982,1,3,5
983,1,5,4
984,5,3,6
985,4,5,2
986,6,5,2
987,2,3,6
988,3,2,6
989,2,6,5
990,4,2,6
991,6,2,4
992,6,2,1
993,4,6,1
994,6,1,4
995,4,5,2
996,1,5,3
997,6,4,2
998,1,2,4
999,6,2,5
